"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"4.7u";"CAP1210";"1210";"Capacitor";"";"";
"C2";"47n";"CAP0805";"0805";"Capacitor";"";"";
"C3";"4.7u";"CAP1210";"1210";"Capacitor";"";"";
"C4";"2.2u";"CAP1210";"1210";"Capacitor";"";"";
"C5";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C6";"10u";"CAP1210";"1210";"Capacitor";"";"";
"C7";"0.01u";"CAP0805";"0805";"Capacitor";"";"";
"C8";"2.2u";"CAP0805";"0805";"Capacitor";"";"";
"C9";"5600p";"CAP0805";"0805";"Capacitor";"";"";
"C10";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C11";"4.7";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";
"C12";"200p";"CAP0805";"0805";"Capacitor";"";"";
"C13";"DNP";"CAP0805";"0805";"Capacitor";"";"";
"C14";"47u";"CAP1210";"1210";"Capacitor";"";"";
"C15";"10u";"CAP1210";"1210";"Capacitor";"";"";
"C16";"47u";"CAP1210";"1210";"Capacitor";"";"";
"C17";"47u";"CAP1210";"1210";"Capacitor";"";"";
"C18";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C19";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C20";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C21";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C22";"0.01u";"CAP0805";"0805";"Capacitor";"";"";
"C23";"0.01u";"CAP0805";"0805";"Capacitor";"";"";
"C24";"0.01u";"CAP0805";"0805";"Capacitor";"";"";
"C25";"0.01u";"CAP0805";"0805";"Capacitor";"";"";
"C26";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C27";"4.7u";"CAP1210";"1210";"Capacitor";"";"";
"C28";"4.7u";"CAP1210";"1210";"Capacitor";"";"";
"C29";"4.7u";"CAP1210";"1210";"Capacitor";"";"";
"C30";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C31";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C32";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C33";"0.1u";"CAP0805";"0805";"Capacitor";"";"";
"C34";"0.01u";"CAP0805";"0805";"Capacitor";"";"";
"D1";"RED";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"DIO-09912";"RED";
"D2";"S3BB";"DIODES3BB";"SMB-DIODE";"Diode";"";"";
"D3";"S3BB";"DIODES3BB";"SMB-DIODE";"Diode";"";"";
"D4";"SMAJ70CA";"SMAJ70CABIDIRECTIONAL";"SMA-DIODE-BI";"The SMAJ series is designed specifically to protect";"";"";
